event_key,segment,market,selection,current_line,current_price,open_line,open_price,line_move,price_move,latest_snapshot_ts
Arizona Diamondbacks @ Los Angeles Dodgers,first5,moneyline,away,,145,,145,,0,2026-07-12T01:58:16Z
Arizona Diamondbacks @ Los Angeles Dodgers,first5,moneyline,home,,-200,,-200,,0,2026-07-12T01:58:16Z
Arizona Diamondbacks @ Los Angeles Dodgers,first5,spread_away,away,0.5,-160,0.5,-160,0.0,0,2026-07-12T01:58:16Z
Arizona Diamondbacks @ Los Angeles Dodgers,first5,spread_home,home,-0.5,120,-0.5,120,0.0,0,2026-07-12T01:58:16Z
Arizona Diamondbacks @ Los Angeles Dodgers,first5,total,over,1.5,-118,1.5,-118,0.0,0,2026-07-12T01:58:16Z
Arizona Diamondbacks @ Los Angeles Dodgers,first5,total,under,1.5,-110,1.5,-110,0.0,0,2026-07-12T01:58:16Z
Arizona Diamondbacks @ Los Angeles Dodgers,first7,moneyline,away,,-3304,,185,,-3489,2026-07-12T02:47:20Z
Arizona Diamondbacks @ Los Angeles Dodgers,first7,moneyline,home,,+835,,-275,,1110,2026-07-12T02:47:20Z
Arizona Diamondbacks @ Los Angeles Dodgers,first7,spread_away,away,-2.5,-174,0.5,115,-3.0,-289,2026-07-12T02:47:20Z
Arizona Diamondbacks @ Los Angeles Dodgers,first7,spread_home,home,2.5,+126,-0.5,-160,3.0,286,2026-07-12T02:47:20Z
Arizona Diamondbacks @ Los Angeles Dodgers,first7,total,over,3.5,+133,3.5,-135,0.0,268,2026-07-12T02:47:20Z
Arizona Diamondbacks @ Los Angeles Dodgers,first7,total,under,3.5,-184,3.5,-105,0.0,-79,2026-07-12T02:47:20Z
Arizona Diamondbacks @ Los Angeles Dodgers,full,moneyline,away,,-300,,180,,-480,2026-07-12T02:47:20Z
Arizona Diamondbacks @ Los Angeles Dodgers,full,moneyline,home,,+230,,-225,,455,2026-07-12T02:47:20Z
Arizona Diamondbacks @ Los Angeles Dodgers,full,spread_away,away,-2.5,-110,1.5,-135,-4.0,25,2026-07-12T02:47:20Z
Arizona Diamondbacks @ Los Angeles Dodgers,full,spread_home,home,2.5,-120,-1.5,105,4.0,-225,2026-07-12T02:47:20Z
Arizona Diamondbacks @ Los Angeles Dodgers,full,total,over,5.5,-135,5.5,-105,0.0,-30,2026-07-12T02:47:20Z
Arizona Diamondbacks @ Los Angeles Dodgers,full,total,under,5.5,+105,5.5,-120,0.0,225,2026-07-12T02:47:20Z
Chicago Cubs @ Cincinnati Reds,full,moneyline,away,,-1200,,-1200,,0,2026-07-12T01:58:16Z
Chicago Cubs @ Cincinnati Reds,full,moneyline,home,,750,,750,,0,2026-07-12T01:58:16Z
Chicago Cubs @ Cincinnati Reds,full,spread_away,away,-1.5,-360,-1.5,-360,0.0,0,2026-07-12T01:58:16Z
Chicago Cubs @ Cincinnati Reds,full,spread_home,home,1.5,260,1.5,260,0.0,0,2026-07-12T01:58:16Z
Chicago Cubs @ Cincinnati Reds,full,total,over,8.5,230,8.5,230,0.0,0,2026-07-12T01:58:16Z
Chicago Cubs @ Cincinnati Reds,full,total,under,8.5,-330,8.5,-330,0.0,0,2026-07-12T01:58:16Z
Houston Astros @ Texas Rangers,full,spread_away,away,-7.5,-440,-7.5,-440,0.0,0,2026-07-12T01:58:16Z
Houston Astros @ Texas Rangers,full,spread_home,home,7.5,290,7.5,290,0.0,0,2026-07-12T01:58:16Z
Houston Astros @ Texas Rangers,full,total,over,10.5,235,10.5,235,0.0,0,2026-07-12T01:58:16Z
