player_name,market,selection,line,price,snapshot_ts
alejandro kirk,batter_hits,over,2.5,120,2026-07-12T01:58:17Z
alejandro kirk,batter_hits,over,2.5,+225,2026-07-12T02:47:20Z
alejandro kirk,batter_hits,under,2.5,-160,2026-07-12T01:58:17Z
alejandro kirk,batter_hits,under,2.5,-310,2026-07-12T02:47:20Z
alejandro kirk,batter_hits_runs_rbis,over,4.5,-107,2026-07-12T01:58:17Z
alejandro kirk,batter_hits_runs_rbis,over,4.5,+205,2026-07-12T02:47:20Z
alejandro kirk,batter_hits_runs_rbis,under,4.5,-124,2026-07-12T01:58:17Z
alejandro kirk,batter_hits_runs_rbis,under,4.5,-295,2026-07-12T02:47:20Z
alejandro kirk,batter_home_runs,over,0.5,1100,2026-07-12T01:58:17Z
alejandro kirk,batter_home_runs,over,0.5,+1500,2026-07-12T02:47:20Z
alejandro kirk,batter_rbis,over,1.5,360,2026-07-12T01:58:17Z
alejandro kirk,batter_rbis,over,1.5,+550,2026-07-12T02:47:20Z
alejandro kirk,batter_rbis,under,1.5,-550,2026-07-12T01:58:17Z
alejandro kirk,batter_rbis,under,1.5,-1000,2026-07-12T02:47:20Z
alejandro kirk,batter_runs_scored,over,1.5,300,2026-07-12T01:58:17Z
alejandro kirk,batter_runs_scored,over,1.5,+500,2026-07-12T02:47:20Z
alejandro kirk,batter_runs_scored,under,1.5,-450,2026-07-12T01:58:17Z
alejandro kirk,batter_runs_scored,under,1.5,-900,2026-07-12T02:47:20Z
alejandro kirk,batter_total_bases,over,3.5,117,2026-07-12T01:58:17Z
alejandro kirk,batter_total_bases,over,3.5,+245,2026-07-12T02:47:20Z
alejandro kirk,batter_total_bases,under,3.5,-157,2026-07-12T01:58:17Z
alejandro kirk,batter_total_bases,under,3.5,-360,2026-07-12T02:47:20Z
andres gimenez,batter_hits,over,0.5,150,2026-07-12T01:58:17Z
andres gimenez,batter_hits,under,0.5,-200,2026-07-12T01:58:17Z
andres gimenez,batter_hits_runs_rbis,over,1.5,121,2026-07-12T01:58:17Z
andres gimenez,batter_hits_runs_rbis,under,1.5,-162,2026-07-12T01:58:17Z
andres gimenez,batter_home_runs,over,0.5,1500,2026-07-12T01:58:17Z
andres gimenez,batter_home_runs,over,0.5,+4000,2026-07-12T02:47:20Z
andres gimenez,batter_rbis,over,1.5,500,2026-07-12T01:58:17Z
andres gimenez,batter_rbis,under,1.5,-900,2026-07-12T01:58:17Z
andres gimenez,batter_runs_scored,over,0.5,380,2026-07-12T01:58:17Z
andres gimenez,batter_runs_scored,under,0.5,-600,2026-07-12T01:58:17Z
andy pages,batter_hits,over,0.5,-150,2026-07-12T01:58:17Z
andy pages,batter_hits,over,1.5,+115,2026-07-12T02:47:20Z
andy pages,batter_hits,under,0.5,110,2026-07-12T01:58:17Z
andy pages,batter_hits,under,1.5,-155,2026-07-12T02:47:20Z
andy pages,batter_hits_runs_rbis,over,1.5,117,2026-07-12T01:58:17Z
andy pages,batter_hits_runs_rbis,over,1.5,-120,2026-07-12T02:47:20Z
andy pages,batter_hits_runs_rbis,under,1.5,-157,2026-07-12T01:58:17Z
andy pages,batter_hits_runs_rbis,under,1.5,-120,2026-07-12T02:47:20Z
andy pages,batter_home_runs,over,0.5,500,2026-07-12T01:58:17Z
andy pages,batter_home_runs,over,0.5,+850,2026-07-12T02:47:20Z
andy pages,batter_rbis,over,0.5,285,2026-07-12T01:58:17Z
andy pages,batter_rbis,over,0.5,+400,2026-07-12T02:47:20Z
andy pages,batter_rbis,under,0.5,-425,2026-07-12T01:58:17Z
andy pages,batter_rbis,under,0.5,-650,2026-07-12T02:47:20Z
andy pages,batter_runs_scored,over,0.5,150,2026-07-12T01:58:17Z
andy pages,batter_runs_scored,over,0.5,+255,2026-07-12T02:47:20Z
andy pages,batter_runs_scored,under,0.5,-210,2026-07-12T01:58:17Z
andy pages,batter_runs_scored,under,0.5,-370,2026-07-12T02:47:20Z
andy pages,batter_total_bases,over,0.5,-155,2026-07-12T01:58:17Z
andy pages,batter_total_bases,over,1.5,+117,2026-07-12T02:47:20Z
andy pages,batter_total_bases,under,0.5,115,2026-07-12T01:58:17Z
andy pages,batter_total_bases,under,1.5,-157,2026-07-12T02:47:20Z
corbin carroll,batter_hits,over,0.5,150,2026-07-12T01:58:17Z
corbin carroll,batter_hits,over,0.5,+265,2026-07-12T02:47:20Z
corbin carroll,batter_hits,under,0.5,-205,2026-07-12T01:58:17Z
corbin carroll,batter_hits,under,0.5,-370,2026-07-12T02:47:20Z
