player_name,market,selection,current_line,current_price,open_line,open_price,line_move,price_move,latest_snapshot_ts
andre pallante,earned_runs,over,2.5,-120,2.5,-120,0.0,0,2026-07-09T21:12:56Z
andre pallante,earned_runs,under,2.5,-120,2.5,-120,0.0,0,2026-07-09T21:12:56Z
andre pallante,hits_allowed,over,5.5,-150,5.5,-150,0.0,0,2026-07-09T21:12:56Z
andre pallante,hits_allowed,under,5.5,+105,5.5,+105,0.0,0,2026-07-09T21:12:56Z
andre pallante,outs,over,17.5,-106,17.5,-106,0.0,0,2026-07-09T21:12:56Z
andre pallante,outs,under,17.5,-125,17.5,-125,0.0,0,2026-07-09T21:12:56Z
andre pallante,strikeouts,over,3.5,-142,3.5,-142,0.0,0,2026-07-09T21:12:56Z
andre pallante,strikeouts,under,3.5,+112,3.5,+112,0.0,0,2026-07-09T21:12:56Z
andre pallante,walks_allowed,over,1.5,-136,1.5,-136,0.0,0,2026-07-09T21:12:56Z
andre pallante,walks_allowed,under,1.5,+103,1.5,+103,0.0,0,2026-07-09T21:12:56Z
brady singer,earned_runs,over,2.5,-151,2.5,-151,0.0,0,2026-07-09T21:12:56Z
brady singer,earned_runs,under,2.5,+114,2.5,+114,0.0,0,2026-07-09T21:12:56Z
brady singer,hits_allowed,over,5.5,-150,5.5,-150,0.0,0,2026-07-09T21:12:56Z
brady singer,hits_allowed,under,5.5,+105,5.5,+105,0.0,0,2026-07-09T21:12:56Z
brady singer,outs,over,15.5,-120,15.5,-120,0.0,0,2026-07-09T21:12:56Z
brady singer,outs,under,15.5,-112,15.5,-112,0.0,0,2026-07-09T21:12:56Z
brady singer,strikeouts,over,4.5,-164,4.5,-164,0.0,0,2026-07-09T21:12:56Z
brady singer,strikeouts,under,4.5,+128,4.5,+128,0.0,0,2026-07-09T21:12:56Z
brady singer,walks_allowed,over,1.5,-138,1.5,-138,0.0,0,2026-07-09T21:12:56Z
brady singer,walks_allowed,under,1.5,+104,1.5,+104,0.0,0,2026-07-09T21:12:56Z
bryce miller,earned_runs,over,1.5,-180,1.5,-180,0.0,0,2026-07-09T21:12:56Z
bryce miller,earned_runs,under,1.5,+125,1.5,+125,0.0,0,2026-07-09T21:12:56Z
bryce miller,hits_allowed,over,5.5,+140,5.5,+140,0.0,0,2026-07-09T21:12:56Z
bryce miller,hits_allowed,under,5.5,-190,5.5,-190,0.0,0,2026-07-09T21:12:56Z
bryce miller,outs,over,17.5,-140,17.5,-140,0.0,0,2026-07-09T21:12:56Z
bryce miller,outs,under,17.5,+104,17.5,+104,0.0,0,2026-07-09T21:12:56Z
bryce miller,strikeouts,over,5.5,-132,5.5,-132,0.0,0,2026-07-09T21:12:56Z
bryce miller,strikeouts,under,5.5,+104,5.5,+104,0.0,0,2026-07-09T21:12:56Z
bryce miller,walks_allowed,over,1.5,+146,1.5,+146,0.0,0,2026-07-09T21:12:56Z
bryce miller,walks_allowed,under,1.5,-196,1.5,-196,0.0,0,2026-07-09T21:12:56Z
carson whisenhunt,earned_runs,over,2.5,+120,2.5,+120,0.0,0,2026-07-09T21:12:56Z
carson whisenhunt,earned_runs,under,2.5,-170,2.5,-170,0.0,0,2026-07-09T21:12:56Z
carson whisenhunt,hits_allowed,over,4.5,-135,4.5,-135,0.0,0,2026-07-09T21:12:56Z
carson whisenhunt,hits_allowed,under,4.5,-105,4.5,-105,0.0,0,2026-07-09T21:12:56Z
carson whisenhunt,strikeouts,over,3.5,-158,3.5,-158,0.0,0,2026-07-09T21:12:56Z
carson whisenhunt,strikeouts,under,3.5,+124,3.5,+124,0.0,0,2026-07-09T21:12:56Z
framber valdez,earned_runs,over,2.5,+110,2.5,+110,0.0,0,2026-07-09T21:12:56Z
framber valdez,earned_runs,under,2.5,-155,2.5,-155,0.0,0,2026-07-09T21:12:56Z
framber valdez,hits_allowed,over,5.5,-130,5.5,-130,0.0,0,2026-07-09T21:12:56Z
framber valdez,hits_allowed,under,5.5,-110,5.5,-110,0.0,0,2026-07-09T21:12:56Z
framber valdez,outs,over,17.5,-200,17.5,-200,0.0,0,2026-07-09T21:12:56Z
framber valdez,outs,under,17.5,+148,17.5,+148,0.0,0,2026-07-09T21:12:56Z
framber valdez,strikeouts,over,5.5,+114,5.5,+114,0.0,0,2026-07-09T21:12:56Z
framber valdez,strikeouts,under,5.5,-146,5.5,-146,0.0,0,2026-07-09T21:12:56Z
framber valdez,walks_allowed,over,1.5,-113,1.5,-113,0.0,0,2026-07-09T21:12:56Z
framber valdez,walks_allowed,under,1.5,-117,1.5,-117,0.0,0,2026-07-09T21:12:56Z
griffin canning,earned_runs,over,2.5,+118,2.5,+118,0.0,0,2026-07-09T21:12:56Z
griffin canning,earned_runs,under,2.5,-157,2.5,-157,0.0,0,2026-07-09T21:12:56Z
griffin canning,hits_allowed,over,4.5,+124,4.5,+124,0.0,0,2026-07-09T21:12:56Z
griffin canning,hits_allowed,under,4.5,-165,4.5,-165,0.0,0,2026-07-09T21:12:56Z
griffin canning,outs,over,14.5,-145,14.5,-145,0.0,0,2026-07-09T21:12:56Z
griffin canning,outs,under,14.5,+109,14.5,+109,0.0,0,2026-07-09T21:12:56Z
griffin canning,strikeouts,over,3.5,-154,3.5,-154,0.0,0,2026-07-09T21:12:56Z
griffin canning,strikeouts,under,3.5,+120,3.5,+120,0.0,0,2026-07-09T21:12:56Z
griffin canning,walks_allowed,over,2.5,+123,2.5,+123,0.0,0,2026-07-09T21:12:56Z
griffin canning,walks_allowed,under,2.5,-164,2.5,-164,0.0,0,2026-07-09T21:12:56Z
janson junk,earned_runs,over,1.5,-156,1.5,-156,0.0,0,2026-07-09T21:12:56Z
janson junk,earned_runs,under,1.5,+117,1.5,+117,0.0,0,2026-07-09T21:12:56Z
janson junk,hits_allowed,over,4.5,-105,4.5,-105,0.0,0,2026-07-09T21:12:56Z
janson junk,hits_allowed,under,4.5,-135,4.5,-135,0.0,0,2026-07-09T21:12:56Z
janson junk,outs,over,13.5,-121,13.5,-121,0.0,0,2026-07-09T21:12:56Z
janson junk,outs,under,13.5,-110,13.5,-110,0.0,0,2026-07-09T21:12:56Z
janson junk,strikeouts,over,3.5,-122,3.5,-122,0.0,0,2026-07-09T21:12:56Z
janson junk,strikeouts,under,3.5,-104,3.5,-104,0.0,0,2026-07-09T21:12:56Z
janson junk,walks_allowed,over,1.5,+157,1.5,+157,0.0,0,2026-07-09T21:12:56Z
janson junk,walks_allowed,under,1.5,-212,1.5,-212,0.0,0,2026-07-09T21:12:56Z
jesus luzardo,earned_runs,over,2.5,+111,2.5,+111,0.0,0,2026-07-09T21:12:56Z
jesus luzardo,earned_runs,under,2.5,-147,2.5,-147,0.0,0,2026-07-09T21:12:56Z
jesus luzardo,hits_allowed,over,4.5,-134,4.5,-134,0.0,0,2026-07-09T21:12:56Z
jesus luzardo,hits_allowed,under,4.5,+101,4.5,+101,0.0,0,2026-07-09T21:12:56Z
jesus luzardo,outs,over,17.5,-138,17.5,-138,0.0,0,2026-07-09T21:12:56Z
jesus luzardo,outs,under,17.5,+102,17.5,+102,0.0,0,2026-07-09T21:12:56Z
jesus luzardo,strikeouts,over,7.5,-102,7.5,-102,0.0,0,2026-07-09T21:12:56Z
jesus luzardo,strikeouts,under,7.5,-125,7.5,-125,0.0,0,2026-07-09T21:12:56Z
jesus luzardo,walks_allowed,over,2.5,+136,2.5,+136,0.0,0,2026-07-09T21:12:56Z
jesus luzardo,walks_allowed,under,2.5,-182,2.5,-182,0.0,0,2026-07-09T21:12:56Z
logan henderson,earned_runs,over,1.5,-169,1.5,-169,0.0,0,2026-07-09T21:12:56Z
logan henderson,earned_runs,under,1.5,+127,1.5,+127,0.0,0,2026-07-09T21:12:56Z
logan henderson,hits_allowed,over,4.5,+100,4.5,+100,0.0,0,2026-07-09T21:12:56Z
logan henderson,hits_allowed,under,4.5,-133,4.5,-133,0.0,0,2026-07-09T21:12:56Z
logan henderson,strikeouts,over,4.5,-138,4.5,-138,0.0,0,2026-07-09T21:12:56Z
logan henderson,strikeouts,under,4.5,+108,4.5,+108,0.0,0,2026-07-09T21:12:56Z
logan henderson,walks_allowed,over,1.5,+171,1.5,+171,0.0,0,2026-07-09T21:12:56Z
logan henderson,walks_allowed,under,1.5,-230,1.5,-230,0.0,0,2026-07-09T21:12:56Z
merrill kelly,earned_runs,over,2.5,-147,2.5,-147,0.0,0,2026-07-09T21:12:56Z
merrill kelly,earned_runs,under,2.5,+111,2.5,+111,0.0,0,2026-07-09T21:12:56Z
merrill kelly,hits_allowed,over,5.5,-139,5.5,-139,0.0,0,2026-07-09T21:12:56Z
merrill kelly,hits_allowed,under,5.5,+104,5.5,+104,0.0,0,2026-07-09T21:12:56Z
merrill kelly,outs,over,17.5,-136,17.5,-136,0.0,0,2026-07-09T21:12:56Z
merrill kelly,outs,under,17.5,+102,17.5,+102,0.0,0,2026-07-09T21:12:56Z
merrill kelly,strikeouts,over,3.5,-164,3.5,-164,0.0,0,2026-07-09T21:12:56Z
merrill kelly,strikeouts,under,3.5,+128,3.5,+128,0.0,0,2026-07-09T21:12:56Z
merrill kelly,walks_allowed,over,1.5,-151,1.5,-151,0.0,0,2026-07-09T21:12:56Z
merrill kelly,walks_allowed,under,1.5,+114,1.5,+114,0.0,0,2026-07-09T21:12:56Z
nathan eovaldi,earned_runs,over,1.5,-155,1.5,-155,0.0,0,2026-07-09T21:12:56Z
nathan eovaldi,earned_runs,under,1.5,+110,1.5,+110,0.0,0,2026-07-09T21:12:56Z
nathan eovaldi,hits_allowed,over,5.5,+125,5.5,+125,0.0,0,2026-07-09T21:12:56Z
nathan eovaldi,hits_allowed,under,5.5,-166,5.5,-166,0.0,0,2026-07-09T21:12:56Z
nathan eovaldi,outs,over,18.5,+110,18.5,+110,0.0,0,2026-07-09T21:12:56Z
nathan eovaldi,outs,under,18.5,-152,18.5,-152,0.0,0,2026-07-09T21:12:56Z
nathan eovaldi,strikeouts,over,7.5,+118,7.5,+118,0.0,0,2026-07-09T21:12:56Z
nathan eovaldi,strikeouts,under,7.5,-150,7.5,-150,0.0,0,2026-07-09T21:12:56Z
nathan eovaldi,walks_allowed,over,1.5,+140,1.5,+140,0.0,0,2026-07-09T21:12:56Z
nathan eovaldi,walks_allowed,under,1.5,-188,1.5,-188,0.0,0,2026-07-09T21:12:56Z
reid detmers,earned_runs,over,2.5,+116,2.5,+116,0.0,0,2026-07-09T21:12:56Z
reid detmers,earned_runs,under,2.5,-154,2.5,-154,0.0,0,2026-07-09T21:12:56Z
reid detmers,hits_allowed,over,5.5,+120,5.5,+120,0.0,0,2026-07-09T21:12:56Z
reid detmers,hits_allowed,under,5.5,-170,5.5,-170,0.0,0,2026-07-09T21:12:56Z
reid detmers,outs,over,17.5,-158,17.5,-158,0.0,0,2026-07-09T21:12:56Z
reid detmers,outs,under,17.5,+116,17.5,+116,0.0,0,2026-07-09T21:12:56Z
reid detmers,strikeouts,over,6.5,+112,6.5,+112,0.0,0,2026-07-09T21:12:56Z
reid detmers,strikeouts,under,6.5,-142,6.5,-142,0.0,0,2026-07-09T21:12:56Z
reid detmers,walks_allowed,over,1.5,-178,1.5,-178,0.0,0,2026-07-09T21:12:56Z
reid detmers,walks_allowed,under,1.5,+133,1.5,+133,0.0,0,2026-07-09T21:12:56Z
ryan feltner,earned_runs,over,2.5,-133,2.5,-133,0.0,0,2026-07-09T21:12:56Z
ryan feltner,earned_runs,under,2.5,+100,2.5,+100,0.0,0,2026-07-09T21:12:56Z
