gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id,date
0042200112,1610612737,Atlanta,Hawks,ATL,hawks,1629631,De'Andre,Hunter,D. Hunter,deandre-hunter,F,,,38:21,8,19,0.421,2,9,0.222,0,0,0.0,4,8,12,3,0,0,4,3,18,4.0,0042200112,2023-04-18
0042200112,1610612737,Atlanta,Hawks,ATL,hawks,1628381,John,Collins,J. Collins,john-collins,F,,,29:33,2,11,0.182,1,7,0.143,0,0,0.0,4,2,6,1,0,1,1,1,5,8.0,0042200112,2023-04-18
0042200112,1610612737,Atlanta,Hawks,ATL,hawks,203991,Clint,Capela,C. Capela,clint-capela,C,,,21:57,2,4,0.5,0,0,0.0,0,2,0.0,2,5,7,0,2,1,0,0,4,-5.0,0042200112,2023-04-18
0042200112,1610612737,Atlanta,Hawks,ATL,hawks,1627749,Dejounte,Murray,D. Murray,dejounte-murray,G,,,39:56,11,24,0.458,7,13,0.538,0,0,0.0,2,4,6,6,4,0,3,1,29,0.0,0042200112,2023-04-18
0042200112,1610612737,Atlanta,Hawks,ATL,hawks,1629027,Trae,Young,T. Young,trae-young,G,,,33:50,9,22,0.409,2,8,0.25,4,6,0.667,2,1,3,6,2,0,5,0,24,-18.0,0042200112,2023-04-18
0042200112,1610612737,Atlanta,Hawks,ATL,hawks,203992,Bogdan,Bogdanović,B. Bogdanović,bogdan-bogdanović,,,,33:01,7,11,0.636,4,7,0.571,0,0,0.0,0,2,2,4,2,0,1,4,18,-10.0,0042200112,2023-04-18
0042200112,1610612737,Atlanta,Hawks,ATL,hawks,1630168,Onyeka,Okongwu,O. Okongwu,onyeka-okongwu,,,,23:47,4,5,0.8,0,0,0.0,0,0,0.0,5,4,9,1,0,2,0,1,8,-17.0,0042200112,2023-04-18
0042200112,1610612737,Atlanta,Hawks,ATL,hawks,1630180,Saddiq,Bey,S. Bey,saddiq-bey,,,,14:50,0,4,0.0,0,3,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-14.0,0042200112,2023-04-18
0042200112,1610612737,Atlanta,Hawks,ATL,hawks,1630552,Jalen,Johnson,J. Johnson,jalen-johnson,,,,4:45,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,0,0,-13.0,0042200112,2023-04-18
0042200112,1610612737,Atlanta,Hawks,ATL,hawks,1628981,Bruno,Fernando,B. Fernando,bruno-fernando,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0042200112,2023-04-18
0042200112,1610612737,Atlanta,Hawks,ATL,hawks,1631100,AJ,Griffin,A. Griffin,aj-griffin,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0042200112,2023-04-18
0042200112,1610612737,Atlanta,Hawks,ATL,hawks,1628988,Aaron,Holiday,A. Holiday,aaron-holiday,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0042200112,2023-04-18
0042200112,1610612737,Atlanta,Hawks,ATL,hawks,1630249,Vít,Krejčí,V. Krejčí,vít-krejčí,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0042200112,2023-04-18
