team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec,is_dressed
Carolina Hurricanes,8478427,1,Sebastian Aho,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.3736666666666666,0.23183333333333334,0.14366666666666666,0.3755,0.32,0.0,450.377777777803,1
Carolina Hurricanes,8482093,1,Seth Jarvis,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.089,0.0665,0.21816666666666665,0.2846666666666666,0.3915,0.0,450.377777777803,1
Carolina Hurricanes,8473533,1,Jordan Staal,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.1918333333333333,0.0705,0.20933333333333332,0.2798333333333333,0.308,0.0,450.377777777803,1
Carolina Hurricanes,8476958,1,Jaccob Slavin,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.0921666666666667,0.06283333333333332,0.2055,0.2683333333333333,0.762,0.0,533.2074074074416,1
Carolina Hurricanes,8480817,1,K'Andre Miller,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.977,0.13266666666666665,0.17466666666666666,0.30733333333333335,0.5416666666666666,0.0,533.2074074074416,1
Montréal Canadiens,8480018,1,Nick Suzuki,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.0365,0.16283333333333333,0.11583333333333333,0.2786666666666667,0.4943333333333333,0.0,459.26666666669445,1
Montréal Canadiens,8483515,1,Juraj Slafkovský,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.2235,0.050666666666666665,0.17099999999999999,0.22166666666666665,0.4415,0.0,459.26666666669445,1
Montréal Canadiens,8481540,1,Cole Caufield,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.3835,0.13966666666666666,0.13483333333333333,0.27449999999999997,0.1625,0.0,459.26666666669445,1
Montréal Canadiens,8476875,1,Mike Matheson,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.8946666666666666,0.03716666666666667,0.16066666666666665,0.1978333333333333,1.062,0.0,568.1333333333552,1
Montréal Canadiens,8483457,1,Lane Hutson,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.8218333333333333,0.03833333333333333,0.15083333333333332,0.18916666666666665,0.4305,0.0,505.69629629633107,1
Carolina Hurricanes,8475883,1,Frederik Andersen,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.0,0.0,0.0,0.0,0.0,10.197024999999956,1199.9999999999998,1
Montréal Canadiens,8482487,1,Jakub Dobes,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.0,0.0,0.0,0.0,0.0,11.12253333333335,1199.9999999999998,1
Carolina Hurricanes,8480830,1,Andrei Svechnikov,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.968,0.06783333333333333,0.13883333333333334,0.20666666666666667,0.18366666666666667,0.0,285.1555555555528,1
Carolina Hurricanes,8477940,1,Nikolaj Ehlers,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.7021666666666666,0.071,0.12683333333333333,0.1978333333333333,0.244,0.0,285.1555555555528,1
Carolina Hurricanes,8482809,1,Jackson Blake,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.8163333333333334,0.13083333333333333,0.1055,0.23633333333333334,0.18433333333333332,0.0,285.1555555555528,1
Carolina Hurricanes,8476906,1,Shayne Gostisbehere,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.7418333333333333,0.03883333333333333,0.13999999999999999,0.17883333333333332,0.10833333333333332,0.0,306.73333333332056,1
Carolina Hurricanes,8482100,1,Alexander Nikishin,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6255,0.02733333333333333,0.1325,0.15983333333333333,0.3383333333333333,0.0,306.73333333332056,1
Montréal Canadiens,8476479,1,Phillip Danault,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.5683333333333334,0.042499999999999996,0.064,0.1065,0.23616666666666666,0.0,243.83703703704327,1
Montréal Canadiens,8476981,1,Josh Anderson,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6943333333333334,0.051333333333333335,0.0735,0.12483333333333332,0.16183333333333333,0.0,243.83703703704327,1
Montréal Canadiens,8483424,1,Owen Beck,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.5951666666666666,0.043666666666666666,0.06916666666666667,0.11283333333333334,0.146,0.0,243.83703703704327,1
Montréal Canadiens,8482087,1,Kaiden Guhle,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.46749999999999997,0.026333333333333334,0.07316666666666666,0.09949999999999999,0.5405,0.0,279.90370370370323,1
Montréal Canadiens,8478851,1,Alexandre Carrier,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.5175,0.03933333333333333,0.07283333333333333,0.11216666666666666,0.6371666666666667,0.0,351.96296296294,1
Carolina Hurricanes,8476921,1,Jordan Martinook,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6378333333333334,0.0265,0.14816666666666667,0.17466666666666666,0.31016666666666665,0.0,251.66666666667402,1
Carolina Hurricanes,8482702,1,Logan Stankoven,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.836,0.179,0.09166666666666666,0.27066666666666667,0.16133333333333333,0.0,251.66666666667402,1
Carolina Hurricanes,8475791,1,Taylor Hall,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.7311666666666666,0.105,0.12583333333333332,0.23083333333333333,0.18016666666666667,0.0,251.66666666667402,1
