team,player_id,player,market,value,count,n_sims,game_home,game_away,date,period
Vegas Golden Knights,8478403,Jack Eichel,SOG,5.0,977,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
Vegas Golden Knights,8478403,Jack Eichel,GOALS,0.0,5058,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
Vegas Golden Knights,8478403,Jack Eichel,ASSISTS,1.0,2148,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
Vegas Golden Knights,8478403,Jack Eichel,POINTS,1.0,2162,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
Vegas Golden Knights,8478403,Jack Eichel,BLOCKS,1.0,2135,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
Vegas Golden Knights,8478403,Jack Eichel,SAVES,0.0,6000,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
Vegas Golden Knights,8478483,Mitch Marner,SOG,2.0,1073,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
Vegas Golden Knights,8478483,Mitch Marner,GOALS,0.0,2545,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
Vegas Golden Knights,8478483,Mitch Marner,ASSISTS,0.0,3746,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
Vegas Golden Knights,8478483,Mitch Marner,POINTS,0.0,1570,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
Vegas Golden Knights,8478483,Mitch Marner,BLOCKS,1.0,1718,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
Vegas Golden Knights,8478483,Mitch Marner,SAVES,0.0,6000,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
Vegas Golden Knights,8475913,Mark Stone,SOG,3.0,1328,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
Vegas Golden Knights,8475913,Mark Stone,GOALS,1.0,1840,6000,Vegas Golden Knights,Colorado Avalanche,2026-05-26,0
