date,player_id,player_name,team,home_team,away_team,market,market_type,entity,line,over_price,under_price,book,first_seen_at,last_seen_at,is_current,market_id,_merge_key
2026-06-11,,Alexander Nikishin,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,alexander_nikishin,0.5,401,-670,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:alexander_nikishin:0.5,name::alexander nikishin
2026-06-11,,Alexander Nikishin,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,alexander_nikishin,0.5,293,-442,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:alexander_nikishin:0.5,name::alexander nikishin
2026-06-11,,Alexander Nikishin,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,alexander_nikishin,0.5,-244,177,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:alexander_nikishin:0.5,name::alexander nikishin
2026-06-11,,Andrei Svechnikov,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,andrei_svechnikov,0.5,137,-184,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:andrei_svechnikov:0.5,name::andrei svechnikov
2026-06-11,,Andrei Svechnikov,,Carolina Hurricanes,Vegas Golden Knights,GOALS,goals,andrei_svechnikov,0.5,240,-340,fanduel,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:goals:andrei_svechnikov:0.5,name::andrei svechnikov
2026-06-11,,Andrei Svechnikov,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,andrei_svechnikov,0.5,-156,117,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:andrei_svechnikov:0.5,name::andrei svechnikov
2026-06-11,,Andrei Svechnikov,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,andrei_svechnikov,2.5,-110,-121,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:andrei_svechnikov:2.5,name::andrei svechnikov
2026-06-11,,Brayden McNabb,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,brayden_mcnabb,0.5,265,-389,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:brayden_mcnabb:0.5,name::brayden mcnabb
2026-06-11,,Brayden McNabb,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,brayden_mcnabb,0.5,222,-315,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:brayden_mcnabb:0.5,name::brayden mcnabb
2026-06-11,,Brett Howden,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,brett_howden,0.5,249,-361,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:brett_howden:0.5,name::brett howden
2026-06-11,,Brett Howden,,Carolina Hurricanes,Vegas Golden Knights,GOALS,goals,brett_howden,0.5,250,-380,fanduel,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:goals:brett_howden:0.5,name::brett howden
2026-06-11,,Brett Howden,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,brett_howden,0.5,104,-138,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:brett_howden:0.5,name::brett howden
2026-06-11,,Brett Howden,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,brett_howden,1.5,-125,-105,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:brett_howden:1.5,name::brett howden
