league,season,match_id,date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home,odds_draw,odds_away,odds_over_2_5,odds_under_2_5
championship,2025,championship_2025_0_birmingham_ipswich,08/08/2025,Birmingham,Ipswich,1,1,0,0,11,7,3,1,1,4,16,22,2,3,0,0,2.45,3.3,2.87,2.05,1.72
championship,2025,championship_2025_1_charlton_watford,09/08/2025,Charlton,Watford,1,0,0,0,12,10,5,1,3,2,6,16,1,2,0,0,2.47,3.24,2.88,2.12,1.67
championship,2025,championship_2025_2_coventry_hull,09/08/2025,Coventry,Hull,0,0,0,0,18,7,3,3,8,2,7,11,3,3,0,0,1.73,3.75,4.58,1.86,1.88
championship,2025,championship_2025_3_southampton_wrexham,09/08/2025,Southampton,Wrexham,2,1,0,1,27,10,10,2,7,4,12,13,2,2,0,0,1.71,3.74,4.77,1.89,1.84
championship,2025,championship_2025_4_middlesbrough_swansea,09/08/2025,Middlesbrough,Swansea,1,0,0,0,6,3,3,1,7,2,15,15,2,5,0,0,1.99,3.47,3.64,1.92,1.83
championship,2025,championship_2025_5_norwich_millwall,09/08/2025,Norwich,Millwall,1,2,0,0,15,15,3,3,6,5,5,15,1,4,0,0,2.02,3.36,3.69,2.07,1.71
championship,2025,championship_2025_6_oxford_portsmouth,09/08/2025,Oxford,Portsmouth,0,1,0,1,18,9,4,4,8,4,15,10,1,2,0,0,2.53,3.28,2.74,2.04,1.73
championship,2025,championship_2025_7_qpr_preston,09/08/2025,QPR,Preston,1,1,1,0,13,11,3,3,5,4,7,9,0,3,0,0,2.32,3.19,3.12,2.25,1.6
championship,2025,championship_2025_8_stoke_derby,09/08/2025,Stoke,Derby,3,1,0,0,12,3,7,2,7,3,12,14,1,2,0,0,2.27,3.13,3.28,2.43,1.52
championship,2025,championship_2025_9_west_brom_blackburn,09/08/2025,West Brom,Blackburn,1,0,1,0,13,10,5,1,3,7,13,13,2,0,1,0,1.82,3.43,4.48,2.2,1.63
championship,2025,championship_2025_10_sheffield_united_bristol_city,09/08/2025,Sheffield United,Bristol City,1,4,1,2,20,9,6,5,14,3,10,10,0,0,0,0,1.71,3.78,4.61,1.86,1.89
championship,2025,championship_2025_11_leicester_sheffield_weds,10/08/2025,Leicester,Sheffield Weds,2,1,0,1,27,7,13,3,13,3,6,13,0,0,0,1,1.14,7.7,18.06,1.49,2.5
championship,2025,championship_2025_12_derby_coventry,16/08/2025,Derby,Coventry,3,5,2,2,13,20,4,10,6,5,14,11,2,5,0,0,3.0,3.19,2.41,2.26,1.59
championship,2025,championship_2025_13_portsmouth_norwich,16/08/2025,Portsmouth,Norwich,1,2,0,2,19,11,3,5,9,0,8,13,3,3,0,0,2.43,3.39,2.83,1.91,1.84
championship,2025,championship_2025_14_wrexham_west_brom,16/08/2025,Wrexham,West Brom,2,3,1,1,15,17,3,5,5,5,5,7,2,0,0,0,2.75,3.18,2.6,2.16,1.65
championship,2025,championship_2025_15_blackburn_birmingham,16/08/2025,Blackburn,Birmingham,1,2,0,0,5,8,2,4,3,5,14,13,1,2,0,0,3.11,3.25,2.33,2.23,1.61
championship,2025,championship_2025_16_bristol_city_charlton,16/08/2025,Bristol City,Charlton,0,0,0,0,14,8,1,2,4,6,9,13,0,1,0,0,1.92,3.46,3.98,2.07,1.7
championship,2025,championship_2025_17_millwall_middlesbrough,16/08/2025,Millwall,Middlesbrough,0,3,0,0,11,12,1,5,6,10,16,11,4,5,0,0,2.18,3.19,3.44,2.23,1.61
championship,2025,championship_2025_18_preston_leicester,16/08/2025,Preston,Leicester,2,1,1,0,14,14,4,2,6,4,11,7,2,0,0,0,3.56,3.33,2.09,2.08,1.7
championship,2025,championship_2025_19_sheffield_weds_stoke,16/08/2025,Sheffield Weds,Stoke,0,3,0,1,15,12,5,6,6,7,12,10,0,3,0,0,3.91,3.45,1.94,1.99,1.77
championship,2025,championship_2025_20_swansea_sheffield_united,16/08/2025,Swansea,Sheffield United,1,0,0,0,13,8,4,0,4,8,13,14,1,3,0,0,2.83,3.21,2.54,2.13,1.67
championship,2025,championship_2025_21_watford_qpr,16/08/2025,Watford,QPR,2,1,2,1,17,13,4,3,2,4,9,9,1,2,1,0,2.12,3.28,3.51,2.15,1.65
championship,2025,championship_2025_22_ipswich_southampton,17/08/2025,Ipswich,Southampton,1,1,1,1,14,11,1,3,4,5,7,20,2,2,0,0,2.08,3.45,3.36,1.85,1.89
championship,2025,championship_2025_23_hull_oxford,17/08/2025,Hull,Oxford,3,2,2,2,19,11,7,6,10,4,7,8,1,1,0,0,1.92,3.3,4.15,2.25,1.59
championship,2025,championship_2025_24_derby_bristol_city,22/08/2025,Derby,Bristol City,1,1,0,1,5,11,2,3,4,5,15,5,3,0,0,0,2.95,3.18,2.45,2.3,1.57
championship,2025,championship_2025_25_charlton_leicester,23/08/2025,Charlton,Leicester,0,1,0,0,20,6,7,2,13,4,18,9,2,1,0,0,3.35,3.3,2.17,2.11,1.68
championship,2025,championship_2025_26_hull_blackburn,23/08/2025,Hull,Blackburn,0,3,0,1,8,14,2,6,2,1,18,19,3,3,0,0,2.35,3.19,3.08,2.3,1.57
championship,2025,championship_2025_27_swansea_watford,23/08/2025,Swansea,Watford,1,1,0,1,11,9,2,4,7,2,11,17,3,5,0,0,2.03,3.37,3.68,2.17,1.64
championship,2025,championship_2025_28_birmingham_oxford,23/08/2025,Birmingham,Oxford,1,0,1,0,16,6,1,1,4,1,11,17,0,0,0,0,1.46,4.34,6.86,1.87,1.87
championship,2025,championship_2025_29_coventry_qpr,23/08/2025,Coventry,QPR,7,1,5,0,19,10,8,1,9,4,15,8,1,2,0,0,1.55,4.07,5.97,1.91,1.84
championship,2025,championship_2025_30_norwich_middlesbrough,23/08/2025,Norwich,Middlesbrough,1,2,0,2,14,11,3,4,5,3,11,14,0,3,1,0,2.24,3.45,3.08,1.88,1.86
championship,2025,championship_2025_31_preston_ipswich,23/08/2025,Preston,Ipswich,1,0,1,0,2,15,1,2,3,6,14,5,6,2,0,0,3.68,3.39,2.03,2.08,1.7
championship,2025,championship_2025_32_sheffield_united_millwall,23/08/2025,Sheffield United,Millwall,0,1,0,1,14,17,4,6,8,7,11,16,3,2,0,0,2.0,3.35,3.79,2.18,1.64
championship,2025,championship_2025_33_southampton_stoke,23/08/2025,Southampton,Stoke,1,2,0,0,18,12,2,4,7,3,6,12,1,3,0,1,1.73,3.77,4.61,1.93,1.82
championship,2025,championship_2025_34_west_brom_portsmouth,23/08/2025,West Brom,Portsmouth,1,1,1,0,13,8,3,4,2,3,10,16,2,5,0,0,1.78,3.64,4.43,1.97,1.77
championship,2025,championship_2025_35_wrexham_sheffield_weds,23/08/2025,Wrexham,Sheffield Weds,2,2,2,0,11,21,4,7,3,9,7,8,0,0,0,0,1.56,4.16,5.59,1.77,1.97
championship,2025,championship_2025_36_leicester_birmingham,29/08/2025,Leicester,Birmingham,2,0,1,0,5,11,2,1,1,7,11,16,3,3,0,0,2.49,3.2,2.86,2.13,1.67
championship,2025,championship_2025_37_middlesbrough_sheffield_united,30/08/2025,Middlesbrough,Sheffield United,1,0,0,0,15,8,6,0,5,9,5,13,0,3,0,0,2.19,3.42,3.19,1.91,1.84
championship,2025,championship_2025_38_qpr_charlton,30/08/2025,QPR,Charlton,3,1,1,0,13,13,6,3,1,2,16,7,2,2,0,0,2.91,3.23,2.44,2.13,1.67
championship,2025,championship_2025_39_stoke_west_brom,30/08/2025,Stoke,West Brom,0,1,0,1,13,12,3,3,5,5,7,11,1,2,0,0,2.57,3.26,2.72,2.09,1.69
championship,2025,championship_2025_40_blackburn_norwich,30/08/2025,Blackburn,Norwich,0,2,0,1,12,15,3,4,3,9,9,7,2,0,1,0,2.37,3.31,2.95,1.98,1.77
championship,2025,championship_2025_41_bristol_city_hull,30/08/2025,Bristol City,Hull,4,2,3,1,29,20,5,9,8,5,7,8,1,1,0,0,1.88,3.47,4.15,2.04,1.72
championship,2025,championship_2025_42_ipswich_derby,30/08/2025,Ipswich,Derby,2,2,1,0,18,10,5,2,6,3,14,14,2,7,0,0,1.53,3.97,6.29,2.0,1.75
championship,2025,championship_2025_43_millwall_wrexham,30/08/2025,Millwall,Wrexham,0,2,0,0,21,6,2,3,5,2,10,13,1,3,0,0,2.0,3.4,3.72,2.04,1.73
championship,2025,championship_2025_44_oxford_coventry,30/08/2025,Oxford,Coventry,2,2,1,2,14,15,3,6,0,5,13,10,1,2,0,0,4.43,3.69,1.77,1.94,1.8
championship,2025,championship_2025_45_portsmouth_preston,30/08/2025,Portsmouth,Preston,1,0,1,0,10,13,2,2,6,4,11,7,1,2,0,0,2.2,3.32,3.27,2.09,1.69
championship,2025,championship_2025_46_sheffield_weds_swansea,30/08/2025,Sheffield Weds,Swansea,0,2,0,0,9,17,1,8,2,7,14,10,0,2,0,0,3.11,3.27,2.29,2.1,1.68
championship,2025,championship_2025_47_watford_southampton,30/08/2025,Watford,Southampton,2,2,0,1,10,12,4,7,4,5,14,12,2,5,0,0,2.91,3.36,2.39,1.96,1.79
championship,2025,championship_2025_48_ipswich_sheffield_united,12/09/2025,Ipswich,Sheffield United,5,0,1,0,21,10,11,2,3,5,11,15,0,2,0,0,1.82,3.63,4.23,1.89,1.86
championship,2025,championship_2025_49_charlton_millwall,13/09/2025,Charlton,Millwall,1,1,1,0,14,15,3,3,3,4,12,18,1,1,1,0,2.41,3.11,3.08,2.36,1.55
championship,2025,championship_2025_50_oxford_leicester,13/09/2025,Oxford,Leicester,2,2,2,1,19,8,2,5,4,4,10,11,1,2,0,1,4.13,3.49,1.87,2.04,1.73
championship,2025,championship_2025_51_preston_middlesbrough,13/09/2025,Preston,Middlesbrough,2,2,1,0,7,14,2,3,3,4,13,7,1,3,0,0,3.07,3.27,2.31,2.08,1.7
championship,2025,championship_2025_52_coventry_norwich,13/09/2025,Coventry,Norwich,1,1,0,1,28,4,4,1,11,2,12,7,2,6,0,0,1.72,3.93,4.44,1.67,2.12
championship,2025,championship_2025_53_sheffield_weds_bristol_city,13/09/2025,Sheffield Weds,Bristol City,0,3,0,3,6,9,0,4,4,1,19,9,2,0,0,0,3.59,3.53,2.0,1.86,1.88
championship,2025,championship_2025_54_stoke_birmingham,13/09/2025,Stoke,Birmingham,1,0,1,0,8,7,3,0,5,3,11,11,3,1,0,0,3.05,3.18,2.38,2.19,1.63
championship,2025,championship_2025_55_swansea_hull,13/09/2025,Swansea,Hull,2,2,1,1,9,15,2,6,5,2,8,5,1,1,0,0,1.82,3.55,4.36,1.99,1.77
championship,2025,championship_2025_56_watford_blackburn,13/09/2025,Watford,Blackburn,0,1,0,0,14,14,1,5,5,7,12,14,1,2,0,0,2.26,3.27,3.19,2.13,1.67
championship,2025,championship_2025_57_west_brom_derby,13/09/2025,West Brom,Derby,0,1,0,0,18,4,3,1,11,0,8,10,1,2,0,0,1.76,3.4,4.98,2.29,1.58
championship,2025,championship_2025_58_wrexham_qpr,13/09/2025,Wrexham,QPR,1,3,0,2,21,15,8,6,12,9,5,10,1,0,0,0,1.91,3.52,3.94,1.89,1.85
championship,2025,championship_2025_59_southampton_portsmouth,14/09/2025,Southampton,Portsmouth,0,0,0,0,9,10,1,1,7,5,16,14,4,2,0,0,1.72,3.84,4.57,1.79,1.97
championship,2025,championship_2025_60_middlesbrough_west_brom,19/09/2025,Middlesbrough,West Brom,2,1,1,0,9,15,4,3,2,3,3,7,0,0,0,0,2.19,3.33,3.28,2.0,1.76
championship,2025,championship_2025_61_birmingham_swansea,20/09/2025,Birmingham,Swansea,1,0,0,0,23,9,7,2,7,2,13,11,5,4,0,0,1.87,3.33,4.37,2.31,1.57
championship,2025,championship_2025_62_leicester_coventry,20/09/2025,Leicester,Coventry,0,0,0,0,17,11,9,3,10,3,8,11,0,3,0,0,2.46,3.46,2.71,1.69,2.09
championship,2025,championship_2025_63_qpr_stoke,20/09/2025,QPR,Stoke,1,0,0,0,14,7,7,1,3,6,8,13,5,3,0,0,2.68,3.26,2.62,2.06,1.72
championship,2025,championship_2025_64_derby_preston,20/09/2025,Derby,Preston,0,1,0,1,7,10,2,6,3,4,10,7,2,2,0,0,2.34,3.06,3.24,2.61,1.46
championship,2025,championship_2025_65_hull_southampton,20/09/2025,Hull,Southampton,3,1,1,0,11,14,4,4,1,6,15,10,5,3,0,0,3.01,3.52,2.24,1.74,2.03
championship,2025,championship_2025_66_norwich_wrexham,20/09/2025,Norwich,Wrexham,2,3,1,0,14,11,5,8,2,3,6,9,1,3,0,0,1.8,3.76,4.17,1.71,2.07
championship,2025,championship_2025_67_portsmouth_sheffield_weds,20/09/2025,Portsmouth,Sheffield Weds,0,2,0,1,25,13,5,8,11,5,5,10,1,5,0,0,1.55,4.11,5.74,1.83,1.92
championship,2025,championship_2025_68_sheffield_united_charlton,20/09/2025,Sheffield United,Charlton,0,1,0,0,13,13,1,4,6,1,14,18,1,3,0,0,1.83,3.52,4.34,2.09,1.69
championship,2025,championship_2025_69_bristol_city_oxford,21/09/2025,Bristol City,Oxford,1,3,0,2,12,18,2,6,8,5,15,14,4,1,0,0,1.59,3.94,5.43,1.9,1.86
championship,2025,championship_2025_70_millwall_watford,22/09/2025,Millwall,Watford,1,0,1,0,9,11,2,4,7,4,11,9,1,0,0,0,2.07,3.23,3.65,2.23,1.61
championship,2025,championship_2025_71_west_brom_leicester,26/09/2025,West Brom,Leicester,1,1,1,0,11,13,5,1,3,3,13,16,2,5,0,0,2.22,3.27,3.27,2.1,1.69
championship,2025,championship_2025_72_coventry_birmingham,27/09/2025,Coventry,Birmingham,3,0,1,0,14,5,5,0,3,4,11,12,1,2,0,1,2.09,3.45,3.4,1.9,1.86
championship,2025,championship_2025_73_swansea_millwall,27/09/2025,Swansea,Millwall,1,1,1,1,13,11,2,3,6,4,7,20,1,2,0,0,2.17,3.16,3.52,2.35,1.56
championship,2025,championship_2025_74_wrexham_derby,27/09/2025,Wrexham,Derby,1,1,0,0,10,5,5,3,4,3,9,16,1,5,0,0,2.12,3.22,3.59,2.32,1.57
championship,2025,championship_2025_75_charlton_blackburn,27/09/2025,Charlton,Blackburn,3,0,1,0,16,9,7,2,3,3,15,11,4,2,0,0,2.35,3.19,3.11,2.28,1.58
championship,2025,championship_2025_76_ipswich_portsmouth,27/09/2025,Ipswich,Portsmouth,2,1,2,0,14,8,5,4,5,4,15,11,1,2,0,0,1.52,4.23,5.9,1.74,2.03
championship,2025,championship_2025_77_oxford_sheffield_united,27/09/2025,Oxford,Sheffield United,0,1,0,0,14,6,3,2,3,5,10,13,1,1,0,0,3.03,3.34,2.32,2.03,1.74
championship,2025,championship_2025_78_preston_bristol_city,27/09/2025,Preston,Bristol City,0,0,0,0,7,19,2,7,2,9,9,10,4,1,0,0,2.58,3.26,2.71,2.05,1.72
championship,2025,championship_2025_79_sheffield_weds_qpr,27/09/2025,Sheffield Weds,QPR,1,1,1,0,14,14,5,4,5,4,12,19,2,2,0,0,2.82,3.35,2.44,1.97,1.77
championship,2025,championship_2025_80_southampton_middlesbrough,27/09/2025,Southampton,Middlesbrough,1,1,0,0,14,7,2,1,6,3,11,17,2,6,0,0,2.34,3.44,2.9,1.81,1.95
championship,2025,championship_2025_81_stoke_norwich,27/09/2025,Stoke,Norwich,1,1,0,1,23,6,6,3,12,2,11,9,0,3,0,0,2.02,3.51,3.53,1.89,1.86
championship,2025,championship_2025_82_watford_hull,27/09/2025,Watford,Hull,2,1,0,1,21,11,8,4,6,6,7,16,1,5,0,0,2.23,3.35,3.16,1.95,1.81
championship,2025,championship_2025_83_birmingham_sheffield_weds,30/09/2025,Birmingham,Sheffield Weds,2,2,1,1,20,5,5,3,10,4,15,11,3,2,0,0,1.46,4.25,7.07,1.91,1.85
championship,2025,championship_2025_84_blackburn_swansea,30/09/2025,Blackburn,Swansea,1,2,1,1,14,7,3,4,7,3,15,13,3,2,0,0,2.6,3.19,2.75,2.2,1.63
championship,2025,championship_2025_85_bristol_city_ipswich,30/09/2025,Bristol City,Ipswich,1,1,1,0,13,15,3,3,3,6,14,11,4,2,0,0,2.77,3.41,2.44,1.87,1.89
championship,2025,championship_2025_86_hull_preston,30/09/2025,Hull,Preston,2,2,0,2,10,13,5,5,5,3,11,9,0,1,0,0,2.16,3.35,3.35,2.06,1.73
championship,2025,championship_2025_87_leicester_wrexham,30/09/2025,Leicester,Wrexham,1,1,1,0,16,9,1,1,7,1,9,7,3,1,0,0,1.66,3.86,4.92,1.85,1.91
championship,2025,championship_2025_88_middlesbrough_stoke,30/09/2025,Middlesbrough,Stoke,0,0,0,0,12,18,4,5,5,8,8,5,2,0,0,0,1.86,3.5,4.17,2.01,1.77
championship,2025,championship_2025_89_sheffield_united_southampton,30/09/2025,Sheffield United,Southampton,1,2,1,0,8,12,3,5,4,5,14,19,3,4,0,0,2.39,3.37,2.89,1.9,1.85
championship,2025,championship_2025_90_derby_charlton,30/09/2025,Derby,Charlton,1,1,0,1,18,11,3,3,5,2,11,10,2,0,0,0,2.61,3.05,2.82,2.54,1.48
