league,season,player_id,player_name,team,position,minutes,games,shots_per90,xg_per90,xa_per90,goals_per90,assists_per90,key_passes_per90,expected_minutes_share,is_goalkeeper,source
epl,2024,understat_1250,Mohamed Salah,Liverpool,F M,3392.0,38,3.4493,0.7351,0.4208,0.7695,0.4776,2.3614,0.9918,False,understat
epl,2024,understat_5232,Alexander Isak,Newcastle United,F,2822.0,34,3.1573,0.713,0.1738,0.7335,0.1914,1.3395,0.9222,False,understat
epl,2024,understat_8260,Erling Haaland,Manchester City,F,2749.0,31,3.5686,0.7843,0.1172,0.7203,0.0982,0.9494,0.9853,False,understat
epl,2024,understat_4456,Chris Wood,Nottingham Forest,F S,3024.0,36,2.0238,0.4654,0.0906,0.5952,0.0893,0.6548,0.9333,False,understat
epl,2024,understat_6552,Bryan Mbeumo,Brentford,D F M,3419.0,38,2.2638,0.3588,0.2731,0.5265,0.1843,1.8426,0.9997,False,understat
epl,2024,understat_5786,Yoane Wissa,Brentford,F M S,2943.0,35,2.7523,0.634,0.1055,0.5505,0.1223,0.8563,0.9343,False,understat
epl,2024,understat_8865,Ollie Watkins,Aston Villa,F S,2666.0,38,2.8357,0.629,0.1309,0.5401,0.2701,0.844,0.7795,False,understat
epl,2024,understat_7080,Matheus Cunha,Wolverhampton Wanderers,F M S,2617.0,33,3.783,0.2905,0.2549,0.5159,0.2063,1.9259,0.8811,False,understat
epl,2024,understat_8497,Cole Palmer,Chelsea,M S,3228.0,37,3.513,0.4398,0.3612,0.4182,0.223,2.4257,0.9694,False,understat
epl,2024,understat_5735,Jean-Philippe Mateta,Crystal Palace,F S,2690.0,37,2.3086,0.5297,0.1289,0.4684,0.0669,0.9703,0.8078,False,understat
epl,2024,understat_11070,Jørgen Strand Larsen,Wolverhampton Wanderers,F S,2624.0,35,1.8521,0.4009,0.1152,0.4802,0.1372,0.6517,0.833,False,understat
epl,2024,understat_1776,Jarrod Bowen,West Ham,F M,2993.0,34,2.6161,0.2952,0.2295,0.3909,0.2406,1.5035,0.9781,False,understat
epl,2024,understat_10408,Luis Díaz,Liverpool,F M S,2433.0,36,2.6264,0.4571,0.231,0.4809,0.185,2.0715,0.7509,False,understat
epl,2024,understat_4105,Raúl Jiménez,Fulham,F S,2531.0,38,3.4137,0.5122,0.1451,0.4267,0.1067,0.889,0.7401,False,understat
epl,2024,understat_6963,Justin Kluivert,Bournemouth,M S,2390.0,34,2.3724,0.3932,0.2076,0.4519,0.2259,1.6569,0.781,False,understat
epl,2024,understat_8868,Liam Delap,Ipswich,F S,2671.0,37,2.2913,0.402,0.0938,0.4043,0.0674,0.6739,0.8021,False,understat
epl,2024,understat_9156,Kevin Schade,Brentford,F M S,2332.0,38,2.1226,0.3654,0.1434,0.4245,0.0772,0.8877,0.6819,False,understat
epl,2024,understat_10760,Brennan Johnson,Tottenham,F M S,2178.0,33,2.2314,0.4613,0.1218,0.4545,0.124,0.7851,0.7333,False,understat
epl,2024,understat_11363,Antoine Semenyo,Bournemouth,F M S,3219.0,37,3.5228,0.4068,0.1848,0.3075,0.1398,1.2861,0.9667,False,understat
epl,2024,understat_501,Danny Welbeck,Brighton,F S,2152.0,30,2.4675,0.4373,0.0869,0.4182,0.1673,0.9619,0.797,False,understat
epl,2024,understat_8272,João Pedro,Brighton,F M S,1975.0,27,2.1418,0.4039,0.256,0.4557,0.2734,1.3671,0.8128,False,understat
epl,2024,understat_10048,Nicolas Jackson,Chelsea,F S,2294.0,30,2.9817,0.5427,0.1362,0.3923,0.1962,1.0985,0.8496,False,understat
epl,2024,understat_10806,Kaoru Mitoma,Brighton,F M S,2608.0,36,1.967,0.3528,0.1708,0.3451,0.138,1.2768,0.8049,False,understat
epl,2024,understat_11296,Cody Gakpo,Liverpool,F M S,1970.0,35,2.6041,0.393,0.2859,0.4569,0.1827,1.736,0.6254,False,understat
epl,2024,understat_12963,Evanilson,Bournemouth,F S,2376.0,31,2.7652,0.5195,0.0725,0.3788,0.0379,0.947,0.8516,False,understat
epl,2024,understat_500,Alex Iwobi,Fulham,D F M S,3023.0,38,2.0245,0.1495,0.2518,0.2679,0.1786,1.7268,0.8839,False,understat
epl,2024,understat_755,Jamie Vardy,Leicester,F,2890.0,35,1.8062,0.3805,0.1164,0.2803,0.1246,0.5917,0.9175,False,understat
epl,2024,understat_1679,Dominic Solanke,Tottenham,F S,2220.0,27,2.4324,0.5034,0.0998,0.3649,0.1216,0.5676,0.9136,False,understat
epl,2024,understat_5220,Kai Havertz,Arsenal,F M S,1880.0,23,2.5372,0.5664,0.1412,0.4309,0.1436,0.8138,0.9082,False,understat
epl,2024,understat_6681,Harvey Barnes,Newcastle United,F M S,1740.0,33,3.2586,0.398,0.2251,0.4655,0.2069,1.2414,0.5859,False,understat
epl,2024,understat_6818,James Maddison,Tottenham,M S,1851.0,31,1.8963,0.2866,0.2925,0.4376,0.3404,2.0421,0.6634,False,understat
epl,2024,understat_8288,Tomas Soucek,West Ham,M S,2586.0,35,1.9142,0.2808,0.033,0.3132,0.0348,0.4872,0.821,False,understat
epl,2024,understat_9307,Iliman Ndiaye,Everton,F M S,2478.0,33,1.3438,0.2577,0.0693,0.3269,0.0,0.6538,0.8343,False,understat
epl,2024,understat_1228,Bruno Fernandes,Manchester United,F M S,3034.0,36,2.8477,0.2933,0.3034,0.2373,0.2966,2.7291,0.9364,False,understat
epl,2024,understat_5675,Ismaila Sarr,Crystal Palace,F M S,2738.0,38,1.9394,0.4046,0.3306,0.263,0.1972,1.4463,0.8006,False,understat
epl,2024,understat_6063,Jacob Murphy,Newcastle United,D F M S,2443.0,35,1.5841,0.2428,0.3441,0.2947,0.4052,1.5104,0.7756,False,understat
epl,2024,understat_7698,Leandro Trossard,Arsenal,F M S,2569.0,38,2.5224,0.3063,0.2468,0.2803,0.2452,1.5064,0.7512,False,understat
epl,2024,understat_7752,Gabriel Martinelli,Arsenal,F M S,2310.0,33,2.1818,0.359,0.2051,0.3117,0.1558,1.5584,0.7778,False,understat
epl,2024,understat_8127,Amad Diallo Traore,Manchester United,D F M S,1887.0,26,2.2417,0.2264,0.2268,0.3816,0.2862,2.337,0.8064,False,understat
epl,2024,understat_8706,Eberechi Eze,Crystal Palace,F M S,2635.0,34,3.4839,0.3374,0.2398,0.2732,0.2732,1.981,0.8611,False,understat
epl,2024,understat_9983,Beto,Everton,F S,1520.0,30,2.9013,0.5487,0.0821,0.4737,0.0,0.7105,0.563,False,understat
epl,2024,understat_10717,Rodrigo Muniz,Fulham,F S,922.0,31,3.9046,0.6675,0.0762,0.7809,0.0976,0.6833,0.3305,False,understat
epl,2024,understat_12412,Morgan Rogers,Aston Villa,F M,3191.0,37,1.5512,0.2317,0.2298,0.2256,0.282,1.4384,0.9583,False,understat
epl,2024,understat_453,Son Heung-Min,Tottenham,F M S,2135.0,30,2.4028,0.3333,0.3813,0.2951,0.3794,2.1499,0.7907,False,understat
epl,2024,understat_5304,Mikel Merino,Arsenal,F M S,1578.0,28,2.1673,0.3915,0.1235,0.3992,0.1141,0.9696,0.6262,False,understat
epl,2024,understat_6055,Phil Foden,Manchester City,F M S,1770.0,28,2.7458,0.3144,0.2737,0.3559,0.1017,2.2373,0.7024,False,understat
epl,2024,understat_6691,Dejan Kulusevski,Tottenham,F M S,2391.0,32,1.7691,0.2079,0.2448,0.2635,0.1506,2.409,0.8302,False,understat
epl,2024,understat_6857,Morgan Gibbs-White,Nottingham Forest,M,2868.0,34,1.9142,0.1927,0.1916,0.2197,0.251,1.6004,0.9373,False,understat
epl,2024,understat_8393,Omar Marmoush,Manchester City,F M S,1195.0,16,3.6904,0.4255,0.2016,0.5272,0.0,1.1297,0.8299,False,understat
epl,2024,understat_9662,Dango Ouattara,Bournemouth,F M S,2013.0,32,2.772,0.4888,0.2678,0.313,0.1788,1.5648,0.699,False,understat
epl,2024,understat_11357,Noni Madueke,Chelsea,D M S,2113.0,32,3.4075,0.5053,0.133,0.2982,0.1278,1.4056,0.7337,False,understat
epl,2024,understat_11366,Jhon Durán,Aston Villa,F S,563.0,20,4.9556,0.8152,0.0375,1.119,0.0,0.6394,0.3128,False,understat
epl,2024,understat_556,Marcus Rashford,"Aston Villa,Manchester United",F M S,1435.0,25,2.1951,0.3127,0.2966,0.3763,0.1882,1.6934,0.6378,False,understat
epl,2024,understat_2254,Mateo Kovacic,Manchester City,M S,2220.0,31,1.8243,0.0732,0.1494,0.2432,0.0811,1.3378,0.7957,False,understat
epl,2024,understat_5596,Harry Wilson,Fulham,F M S,1150.0,25,3.3652,0.2822,0.1143,0.4696,0.0783,1.5652,0.5111,False,understat
epl,2024,understat_6854,Diogo Jota,Liverpool,F S,1188.0,26,3.8636,0.7732,0.1403,0.4545,0.2273,0.8333,0.5077,False,understat
epl,2024,understat_7230,Emile Smith-Rowe,Fulham,M S,2101.0,34,1.585,0.2254,0.1043,0.257,0.1285,1.0281,0.6866,False,understat
epl,2024,understat_7322,Bukayo Saka,Arsenal,F M S,1763.0,25,3.4203,0.4566,0.5913,0.3063,0.5105,2.9609,0.7836,False,understat
epl,2024,understat_8150,Anthony Gordon,Newcastle United,F M S,2474.0,34,2.1463,0.3346,0.1755,0.2183,0.1819,1.8553,0.8085,False,understat
epl,2024,understat_9524,Anthony Elanga,Nottingham Forest,F M S,2549.0,38,1.5536,0.2091,0.2332,0.2118,0.3884,1.7654,0.7453,False,understat
epl,2024,understat_9788,Dominik Szoboszlai,Liverpool,F M S,2519.0,36,2.4295,0.2504,0.2808,0.2144,0.2144,2.0365,0.7775,False,understat
epl,2024,understat_10552,Alejandro Garnacho,Manchester United,F M S,2176.0,36,3.4743,0.3904,0.1434,0.2482,0.0827,1.5717,0.6716,False,understat
epl,2024,understat_11356,Enzo Fernández,Chelsea,M S,2941.0,36,1.6219,0.1877,0.2368,0.1836,0.2142,2.3563,0.9077,False,understat
epl,2024,understat_12759,Yankuba Minteh,Brighton,D M S,1832.0,32,1.6703,0.2785,0.2393,0.2948,0.1965,1.3755,0.6361,False,understat
epl,2024,understat_672,Jordan Ayew,"Crystal Palace,Leicester",F M S,1688.0,31,1.7595,0.2315,0.1016,0.2666,0.0,0.9064,0.605,False,understat
epl,2024,understat_6174,Nikola Milenkovic,Nottingham Forest,D,3330.0,37,0.7838,0.1235,0.0282,0.1351,0.0541,0.2432,1.0,False,understat
epl,2024,understat_6456,Callum Hudson-Odoi,Nottingham Forest,F M S,2221.0,31,1.4993,0.1018,0.1194,0.2026,0.081,1.783,0.7961,False,understat
epl,2024,understat_6937,Georginio Rutter,Brighton,F M S,1679.0,28,2.6802,0.3043,0.1679,0.268,0.1608,1.0185,0.6663,False,understat
epl,2024,understat_7083,Christian Nørgaard,Brentford,M,2870.0,34,1.223,0.1811,0.0601,0.1568,0.1254,0.5645,0.9379,False,understat
epl,2024,understat_7134,Marc Cucurella,Chelsea,D S,3006.0,36,0.7186,0.0947,0.0541,0.1497,0.0299,0.5689,0.9278,False,understat
epl,2024,understat_8327,Bruno Guimarães,Newcastle United,M,3321.0,38,1.2195,0.1274,0.1783,0.1355,0.1626,1.4092,0.9711,False,understat
epl,2024,understat_8379,Alexis Mac Allister,Liverpool,M S,2621.0,35,1.3048,0.1225,0.168,0.1717,0.1717,1.5452,0.8321,False,understat
epl,2024,understat_9790,Josko Gvardiol,Manchester City,D S,3277.0,37,1.0986,0.1265,0.0567,0.1373,0.0,0.7141,0.9841,False,understat
