team_id,abbreviation,location,display_name,primary_color,secondary_color,logo_url,source_snapshot_date
2726,ADO,ADO Den Haag,ADO Den Haag,#307b64,#a0ffe5,https://a.espncdn.com/i/teamlogos/soccer/500/2726.png,2026-07-20
140,AZ,AZ Alkmaar,AZ Alkmaar,#ef2f24,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/140.png,2026-07-20
139,AJA,Ajax Amsterdam,Ajax Amsterdam,#df1b27,#4d6286,https://a.espncdn.com/i/teamlogos/soccer/500/139.png,2026-07-20
2566,EXC,Excelsior,Excelsior,#000000,#b41226,https://a.espncdn.com/i/teamlogos/soccer/500/2566.png,2026-07-20
145,GRO,FC Groningen,FC Groningen,#ffffff,#30565c,https://a.espncdn.com/i/teamlogos/soccer/500/145.png,2026-07-20
152,TWE,FC Twente,FC Twente,#f31522,#9df9f7,https://a.espncdn.com/i/teamlogos/soccer/500/152.png,2026-07-20
153,UTR,FC Utrecht,FC Utrecht,#f31522,#1a316b,https://a.espncdn.com/i/teamlogos/soccer/500/153.png,2026-07-20
142,FEY,Feyenoord Rotterdam,Feyenoord Rotterdam,#ef2f24,#000000,https://a.espncdn.com/i/teamlogos/soccer/500/142.png,2026-07-20
143,FOR,Fortuna Sittard,Fortuna Sittard,#fcee33,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/143.png,2026-07-20
3706,GAE,Go Ahead Eagles,Go Ahead Eagles,#f80017,#8f0058,https://a.espncdn.com/i/teamlogos/soccer/500/3706.png,2026-07-20
146,HEE,Heerenveen,Heerenveen,#003eff,#1a316b,https://a.espncdn.com/i/teamlogos/soccer/500/146.png,2026-07-20
147,NEC,NEC Nijmegen,NEC Nijmegen,#ef2f24,#84aee7,https://a.espncdn.com/i/teamlogos/soccer/500/147.png,2026-07-20
2565,PEC,PEC Zwolle,PEC Zwolle,#0000d4,#000000,https://a.espncdn.com/i/teamlogos/soccer/500/2565.png,2026-07-20
148,PSV,PSV Eindhoven,PSV Eindhoven,#ef2f24,#000000,https://a.espncdn.com/i/teamlogos/soccer/500/148.png,2026-07-20
3736,CAM,SC Cambuur,SC Cambuur,#fcee33,#98994e,https://a.espncdn.com/i/teamlogos/soccer/500/3736.png,2026-07-20
151,SPA,Sparta Rotterdam,Sparta Rotterdam,#f31522,#84aee7,https://a.espncdn.com/i/teamlogos/soccer/500/151.png,2026-07-20
3735,TEL,Telstar,Telstar,#c60000,#fcee33,https://a.espncdn.com/i/teamlogos/soccer/500/3735.png,2026-07-20
156,WIL,Willem II,Willem II,#1a316b,#96c0df,https://a.espncdn.com/i/teamlogos/soccer/500/156.png,2026-07-20
