date,game_id,home_team,visitor_team,commence_time,home_ml,away_ml,home_spread,away_spread,total,bookmaker,home_tri,away_tri
2026-06-14,1,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,fanduel,TOR,ATL
2026-06-14,2,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,fanduel,TOR,ATL
2026-06-14,3,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,fanduel,TOR,ATL
2026-06-14,4,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,fanduel,TOR,ATL
2026-06-14,5,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,fanduel,TOR,ATL
2026-06-14,6,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,fanduel,TOR,ATL
2026-06-14,7,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,draftkings,TOR,ATL
2026-06-14,8,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,draftkings,TOR,ATL
2026-06-14,9,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,draftkings,TOR,ATL
2026-06-14,10,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,draftkings,TOR,ATL
2026-06-14,11,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,draftkings,TOR,ATL
2026-06-14,12,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,draftkings,TOR,ATL
2026-06-14,13,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,williamhill_us,TOR,ATL
2026-06-14,14,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,williamhill_us,TOR,ATL
2026-06-14,15,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,williamhill_us,TOR,ATL
2026-06-14,16,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,williamhill_us,TOR,ATL
2026-06-14,17,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,williamhill_us,TOR,ATL
2026-06-14,18,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,williamhill_us,TOR,ATL
2026-06-14,19,Toronto Tempo,Atlanta Dream,2026-06-14T19:00:00Z,,,,,,lowvig,TOR,ATL
