snapshot_ts,event_id,commence_time,bookmaker,bookmaker_title,market,outcome_name,player_name,point,price,last_update,home_team,away_team
2026-06-20T22:41:26.464767+00:00,518b54531029e1f0aaeb9f238f1c93a9,2026-06-21T00:00:00Z,fanduel,FanDuel,player_assists,Over,Skylar Diggins-Smith,5.5,116,2026-06-20T22:40:45Z,Dallas Wings,Chicago Sky
2026-06-20T22:41:26.464767+00:00,518b54531029e1f0aaeb9f238f1c93a9,2026-06-21T00:00:00Z,fanduel,FanDuel,player_assists,Under,Skylar Diggins-Smith,5.5,-154,2026-06-20T22:40:45Z,Dallas Wings,Chicago Sky
2026-06-20T22:41:26.464767+00:00,518b54531029e1f0aaeb9f238f1c93a9,2026-06-21T00:00:00Z,fanduel,FanDuel,player_assists,Over,Natasha Cloud,4.5,114,2026-06-20T22:40:45Z,Dallas Wings,Chicago Sky
2026-06-20T22:41:26.464767+00:00,518b54531029e1f0aaeb9f238f1c93a9,2026-06-21T00:00:00Z,fanduel,FanDuel,player_assists,Under,Natasha Cloud,4.5,-152,2026-06-20T22:40:45Z,Dallas Wings,Chicago Sky
2026-06-20T22:41:26.464767+00:00,518b54531029e1f0aaeb9f238f1c93a9,2026-06-21T00:00:00Z,fanduel,FanDuel,player_assists,Over,Paige Bueckers,5.5,110,2026-06-20T22:40:45Z,Dallas Wings,Chicago Sky
2026-06-20T22:41:26.464767+00:00,518b54531029e1f0aaeb9f238f1c93a9,2026-06-21T00:00:00Z,fanduel,FanDuel,player_assists,Under,Paige Bueckers,5.5,-146,2026-06-20T22:40:45Z,Dallas Wings,Chicago Sky
2026-06-20T22:41:26.464767+00:00,518b54531029e1f0aaeb9f238f1c93a9,2026-06-21T00:00:00Z,fanduel,FanDuel,player_assists,Over,Jessica Shepard,4.5,-166,2026-06-20T22:40:45Z,Dallas Wings,Chicago Sky
2026-06-20T22:41:26.464767+00:00,518b54531029e1f0aaeb9f238f1c93a9,2026-06-21T00:00:00Z,fanduel,FanDuel,player_assists,Under,Jessica Shepard,4.5,124,2026-06-20T22:40:45Z,Dallas Wings,Chicago Sky
2026-06-20T22:41:26.464767+00:00,518b54531029e1f0aaeb9f238f1c93a9,2026-06-21T00:00:00Z,fanduel,FanDuel,player_double_double,Yes,Jessica Shepard,,-210,2026-06-20T22:40:45Z,Dallas Wings,Chicago Sky
2026-06-20T22:41:26.464767+00:00,518b54531029e1f0aaeb9f238f1c93a9,2026-06-21T00:00:00Z,fanduel,FanDuel,player_double_double,Yes,Kamilla Cardoso,,310,2026-06-20T22:40:45Z,Dallas Wings,Chicago Sky
