event_id,commence_time,home,away,bookmaker_key,bookmaker,book_last_update,market,outcome_name,outcome_price,outcome_point,date
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,fanduel,FanDuel,,h2h,Carolina Hurricanes,-150,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,fanduel,FanDuel,,h2h,Montréal Canadiens,125,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,fanduel,FanDuel,,spreads,Carolina Hurricanes,164,-1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,fanduel,FanDuel,,spreads,Montréal Canadiens,-205,1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,fanduel,FanDuel,,totals,Over,-114,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,fanduel,FanDuel,,totals,Under,-106,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,fanatics,Fanatics,,h2h,Carolina Hurricanes,-150,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,fanatics,Fanatics,,h2h,Montréal Canadiens,125,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,fanatics,Fanatics,,spreads,Carolina Hurricanes,175,-1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,fanatics,Fanatics,,spreads,Montréal Canadiens,-220,1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,fanatics,Fanatics,,totals,Over,-115,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,fanatics,Fanatics,,totals,Under,-105,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,draftkings,DraftKings,,h2h,Carolina Hurricanes,-148,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,draftkings,DraftKings,,h2h,Montréal Canadiens,124,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,draftkings,DraftKings,,spreads,Carolina Hurricanes,180,-1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,draftkings,DraftKings,,spreads,Montréal Canadiens,-218,1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,draftkings,DraftKings,,totals,Over,-118,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,draftkings,DraftKings,,totals,Under,-102,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betmgm,BetMGM,,h2h,Carolina Hurricanes,-150,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betmgm,BetMGM,,h2h,Montréal Canadiens,125,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betmgm,BetMGM,,spreads,Carolina Hurricanes,165,-1.5,2026-05-28
